,name_normalized,total_points
20195,adalberto penaranda,0
20196,adalberto penaranda,0
20197,adalberto penaranda,0
20198,adalberto penaranda,0
20199,adalberto penaranda,0
20200,adalberto penaranda,0
20201,adalberto penaranda,0
20202,adalberto penaranda,0
20203,adalberto penaranda,0
20204,adalberto penaranda,0
20205,adalberto penaranda,0
20206,adalberto penaranda,0
20207,adalberto penaranda,0
20208,adalberto penaranda,0
20209,adalberto penaranda,0
20210,adalberto penaranda,0
20211,adam lallana,0
20212,adam lallana,1
20213,adam lallana,0
20214,adam lallana,0
20215,adam lallana,0
20216,adam lallana,0
20217,adam lallana,0
20218,adam lallana,0
20219,adam lallana,2
20220,adam lallana,3
20221,adam lallana,0
20222,adam lallana,0
20223,adam lallana,0
20224,adam lallana,0
20225,adam lallana,0
20226,adam lallana,4
20227,adam lallana,0
20228,adam lallana,1
20229,adam lallana,0
20230,adam lallana,1
20231,adam lallana,0
20232,adam lallana,0
20233,adam lallana,1
20234,adam lallana,1
20235,adam lallana,2
20236,adam lallana,0
20237,adam lallana,0
20238,adam lallana,1
20239,adam lallana,1
20240,adam lallana,2
20241,adam lallana,3
20242,adam lallana,0
20243,adam lallana,0
20244,adam lallana,0
20245,adam lallana,0
20246,adam lallana,0
20247,adam lallana,0
20248,adam lallana,0
20249,adam masina,0
20250,adam masina,0
20251,adam masina,0
20252,adam masina,0
20253,adam masina,1
20254,adam masina,0
20255,adam masina,0
20256,adam masina,0
20257,adam masina,7
20258,adam masina,8
20259,adam masina,0
20260,adam masina,0
20261,adam masina,1
20262,adam masina,0
20263,adam masina,0
20264,adam masina,0
20265,adam masina,0
20266,adam masina,0
20267,adam masina,0
20268,adam masina,1
20269,adam masina,0
20270,adam masina,1
20271,adam masina,0
20272,adam masina,0
20273,adam masina,0
20274,adam masina,0
20275,adam masina,2
20276,adam masina,-1
20277,adam masina,0
20278,adam masina,1
20279,adam masina,0
20280,adam masina,0
20281,adam masina,2
20282,adam masina,2
20283,adam masina,1
20284,adam masina,0
20285,adam masina,0
20286,adam masina,0
20287,adam smith,6
20288,adam smith,2
20289,adam smith,-2
20290,adam smith,2
20291,adam smith,7
20292,adam smith,1
20293,adam smith,2
20294,adam smith,6
20295,adam smith,6
20296,adam smith,6
20297,adam smith,0
20298,adam smith,1
20299,adam smith,0
20300,adam smith,0
20301,adam smith,0
20302,adam smith,0
20303,adam smith,0
20304,adam smith,0
20305,adam smith,0
20306,adam smith,0
20307,adam smith,0
20308,adam smith,1
20309,adam smith,6
20310,adam smith,6
20311,adam smith,0
20312,adam smith,0
20313,adam smith,1
20314,adam smith,0
20315,adam smith,2
20316,adam smith,1
20317,adam smith,0
20318,adam smith,0
20319,adam smith,0
20320,adam smith,6
20321,adam smith,0
20322,adam smith,0
20323,adam smith,6
20324,adam smith,4
20325,adama diakhaby,1
20326,adama diakhaby,1
20327,adama diakhaby,3
20328,adama diakhaby,1
20329,adama diakhaby,1
20330,adama diakhaby,1
20331,adama diakhaby,0
20332,adama diakhaby,0
20333,adama diakhaby,1
20334,adama diakhaby,0
20335,adama diakhaby,0
20336,adama diakhaby,0
20337,adama diakhaby,0
20338,adama diakhaby,0
20339,adama diakhaby,0
20340,adama diakhaby,0
20341,adama diakhaby,0
20342,adama diakhaby,0
20343,adama diakhaby,0
20344,adama diakhaby,0
20345,adama diakhaby,0
20346,adama diakhaby,0
20347,adama diakhaby,1
20348,adama diakhaby,2
20349,adama diakhaby,2
20350,adama diakhaby,4
20351,adama diakhaby,0
20352,adama diakhaby,0
20353,adama diakhaby,0
20354,adama diakhaby,0
20355,adama diakhaby,0
20356,adama diakhaby,0
20357,adama diakhaby,0
20358,adama diakhaby,0
20359,adama diakhaby,0
20360,adama diakhaby,0
20361,adama diakhaby,1
20362,adama diakhaby,0
20363,adama traore,0
20364,adama traore,1
20365,adama traore,1
20366,adama traore,8
20367,adama traore,1
20368,adama traore,1
20369,adama traore,0
20370,adama traore,1
20371,adama traore,1
20372,adama traore,2
20373,adama traore,1
20374,adama traore,1
20375,adama traore,1
20376,adama traore,2
20377,adama traore,0
20378,adama traore,1
20379,adama traore,0
20380,adama traore,2
20381,adama traore,1
20382,adama traore,1
20383,adama traore,1
20384,adama traore,1
20385,adama traore,0
20386,adama traore,0
20387,adama traore,1
20388,adama traore,4
20389,adama traore,1
20390,adama traore,0
20391,adama traore,3
20392,adama traore,1
20393,adama traore,2
20394,adama traore,0
20395,adama traore,1
20396,adama traore,1
20397,adama traore,1
20398,adama traore,0
20399,adama traore,0
20400,adama traore,1
20401,addji keaninkin marc-israel guehi,0
20402,ademola lookman,0
20403,ademola lookman,0
20404,ademola lookman,0
20405,ademola lookman,1
20406,ademola lookman,1
20407,ademola lookman,0
20408,ademola lookman,0
20409,ademola lookman,0
20410,ademola lookman,4
20411,ademola lookman,1
20412,ademola lookman,1
20413,ademola lookman,1
20414,ademola lookman,1
20415,ademola lookman,1
20416,ademola lookman,2
20417,ademola lookman,1
20418,ademola lookman,1
20419,ademola lookman,0
20420,ademola lookman,0
20421,ademola lookman,0
20422,ademola lookman,0
20423,ademola lookman,6
20424,ademola lookman,2
20425,ademola lookman,0
20426,ademola lookman,1
20427,ademola lookman,0
20428,ademola lookman,0
20429,ademola lookman,1
20430,ademola lookman,0
20431,ademola lookman,1
20432,ademola lookman,0
20433,ademola lookman,0
20434,ademola lookman,1
20435,ademola lookman,1
20436,ademola lookman,0
20437,ademola lookman,1
20438,ademola lookman,1
20439,ademola lookman,4
20440,adrian mariappa,0
20441,adrian mariappa,0
20442,adrian mariappa,0
20443,adrian mariappa,1
20444,adrian mariappa,0
20445,adrian mariappa,0
20446,adrian mariappa,0
20447,adrian mariappa,1
20448,adrian mariappa,6
20449,adrian mariappa,6
20450,adrian mariappa,2
20451,adrian mariappa,2
20452,adrian mariappa,1
20453,adrian mariappa,1
20454,adrian mariappa,0
20455,adrian mariappa,1
20456,adrian mariappa,0
20457,adrian mariappa,1
20458,adrian mariappa,1
20459,adrian mariappa,2
20460,adrian mariappa,1
20461,adrian mariappa,2
20462,adrian mariappa,8
20463,adrian mariappa,0
20464,adrian mariappa,6
20465,adrian mariappa,6
20466,adrian mariappa,2
20467,adrian mariappa,0
20468,adrian mariappa,1
20469,adrian mariappa,0
20470,adrian mariappa,0
20471,adrian mariappa,1
20472,adrian mariappa,0
20473,adrian mariappa,2
20474,adrian mariappa,0
20475,adrian mariappa,1
20476,adrian mariappa,1
20477,adrian mariappa,1
20478,adrien sebastian perruchet silva,2
20479,adrien sebastian perruchet silva,1
20480,adrien sebastian perruchet silva,0
20481,adrien sebastian perruchet silva,0
20482,adrien sebastian perruchet silva,0
20483,adrien sebastian perruchet silva,0
20484,adrien sebastian perruchet silva,0
20485,adrien sebastian perruchet silva,0
20486,adrien sebastian perruchet silva,0
20487,adrien sebastian perruchet silva,0
20488,adrien sebastian perruchet silva,0
20489,adrien sebastian perruchet silva,0
20490,adrien sebastian perruchet silva,0
20491,adrien sebastian perruchet silva,0
20492,adrien sebastian perruchet silva,0
20493,adrien sebastian perruchet silva,0
20494,adrien sebastian perruchet silva,0
20495,adrien sebastian perruchet silva,0
20496,adrien sebastian perruchet silva,0
