player_name,name,position
Kieran Trippier,Kieran Trippier,DEF
Konstantinos Mavropanos,Konstantinos Mavropanos,DEF
Kortney Hause,Kortney Hause,DEF
Kyle Walker-Peters,Kyle Walker-Peters,DEF
Kyle Walker,Kyle Walker,DEF
Laurent Depoitre,Laurent Depoitre,FWD
Laurent Koscielny,Laurent Koscielny,DEF
Leander Dendoncker,Leander Dendoncker,MID
Lee Grant,Lee Grant,GKP
Lee Peltier,Lee Peltier,DEF
Leighton Baines,Leighton Baines,DEF
Leon Balogun,Leon Balogun,DEF
Leroy San√©,Leroy Sané,MID
Lewis Cook,Lewis Cook,MID
Lewis Dunk,Lewis Dunk,DEF
Loris Karius,Loris Karius,GKP
Lo√Øc Damour,Loïc Damour,MID
Lucas Digne,Lucas Digne,DEF
Lucas P√©rez,Lucas Pérez,FWD
Lucas Rodrigues Moura da Silva,Lucas Rodrigues Moura da Silva,MID
Lucas Torreira,Lucas Torreira,MID
Luciano Vietto,Luciano Vietto,FWD
Lukasz Fabianski,Lukasz Fabianski,GKP
Luka Milivojevic,Luka Milivojevic,MID
Luke Amos,Luke Amos,MID
Luke Shaw,Luke Shaw,DEF
Lys Mousset,Lys Mousset,FWD
Maarten Stekelenburg,Maarten Stekelenburg,GKP
Mamadou Sakho,Mamadou Sakho,DEF
Manolo Gabbiadini,Manolo Gabbiadini,FWD
Manuel Lanzini,Manuel Lanzini,MID
Marcos Alonso,Marcos Alonso,MID
Marcos Rojo,Marcos Rojo,DEF
Marcus Bettinelli,Marcus Bettinelli,GKP
Marcus Rashford,Marcus Rashford,FWD
Marc Albrighton,Marc Albrighton,MID
Marc Navarro,Marc Navarro,DEF
Marc Pugh,Marc Pugh,MID
Mario Lemina,Mario Lemina,MID
Marko Arnautovic,Marko Arnautovic,FWD
Markus Suttner,Markus Suttner,DEF
Mark Noble,Mark Noble,MID
Marouane Fellaini,Marouane Fellaini,MID
Martin Dubravka,Martin Dubravka,GKP
Martin Kelly,Martin Kelly,DEF
Mart√≠n Montoya,Martín Montoya,DEF
Marvin Zeegelaar,Marvin Zeegelaar,DEF
Mason Holgate,Mason Holgate,DEF
Matej Vydra,Matej Vydra,FWD
Mateo Kovacic,Mateo Kovacic,MID
Mathew Ryan,Mathew Ryan,GKP
Mathias Jorgensen,Mathias Jorgensen,DEF
Matteo Darmian,Matteo Darmian,DEF
Matteo Guendouzi,Matteo Guendouzi,MID
Matthew Connolly,Matthew Connolly,DEF
Matthew Lowton,Matthew Lowton,DEF
Matty James,Matty James,MID
Matt Doherty,Matt Doherty,DEF
Matt Ritchie,Matt Ritchie,MID
Matt Targett,Matt Targett,DEF
Maxime Le Marchand,Maxime Le Marchand,DEF
Max Meyer,Max Meyer,MID
Maya Yoshida,Maya Yoshida,DEF
Mesut √ñzil,Mesut Özil,MID
Michael Keane,Michael Keane,DEF
Michail Antonio,Michail Antonio,DEF
Michel Vorm,Michel Vorm,GKP
Miguel Britos,Miguel Britos,DEF
Mikel Merino,Mikel Merino,MID
Mohamed Diam√©,Mohamed Diame,MID
Mohamed Elneny,Mohamed Elneny,MID
Mohamed Elyounoussi,Mohamed Elyounoussi,MID
Mohamed Salah,Mohamed Salah,FWD
Morgan Gibbs-White,Morgan Gibbs-White,MID
Morgan Schneiderlin,Morgan Schneiderlin,MID
Mousa Demb√©l√©,Mousa Dembélé,MID
Moussa Sissoko,Moussa Sissoko,MID
N'Golo Kant√©,N'Golo Kanté,MID
Naby Keita,Naby Keita,MID
Nacho Monreal,Nacho Monreal,DEF
Nahki Wells,Nahki Wells,FWD
Nathaniel Chalobah,Nathaniel Chalobah,MID
Nathaniel Clyne,Nathaniel Clyne,DEF
Nathaniel Mendez-Laing,Nathaniel Mendez-Laing,MID
Nathan Ak√©,Nathan Aké,DEF
Nathan Redmond,Nathan Redmond,DEF
Neeskens Kebano,Neeskens Kebano,MID
Neil Etheridge,Neil Etheridge,GKP
Nemanja Matic,Nemanja Matic,MID
Nick Pope,Nick Pope,GKP
Nicol√°s Otamendi,Nicolás Otamendi,DEF
Nikola Vlasic,Nikola Vlasic,MID
Oleksandr Zinchenko,Oleksandr Zinchenko,DEF
Olivier Giroud,Olivier Giroud,FWD
Omar Bogle,Omar Bogle,FWD
Oriol Romeu Vidal,Oriol Romeu Vidal,MID
Oumar Niasse,Oumar Niasse,FWD
Pablo Zabaleta,Pablo Zabaleta,DEF
Pape Souar√©,Pape Souaré,DEF
Pascal Gro√ü,Pascal Groß,MID
Patrick van Aanholt,Patrick van Aanholt,DEF
Paul Dummett,Paul Dummett,DEF
Paul Pogba,Paul Pogba,MID
Pedro Obiang,Pedro Obiang,MID
Pedro Rodr√≠guez Ledesma,Pedro Rodríguez Ledesma,FWD
Petr Cech,Petr Cech,GKP
Philip Billing,Philip Billing,MID
Phil Bardsley,Phil Bardsley,DEF
Phil Foden,Phil Foden,MID
Phil Jagielka,Phil Jagielka,DEF
Phil Jones,Phil Jones,DEF
Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang,FWD
Pierre-Emile H√∏jbjerg,Pierre-Emile Højbjerg,MID
Pontus Dahlberg,Pontus Dahlberg,GKP
Rachid Ghezzal,Rachid Ghezzal,MID
Rafa Mir,Rafa Mir,FWD
Ragnar Klavan,Ragnar Klavan,DEF
Raheem Sterling,Raheem Sterling,FWD
Rajiv van La Parra,Rajiv van La Parra,MID
Ramadan Sobhi,Ramadan Sobhi,MID
Ra√∫l Jim√©nez,Raúl Jiménez,FWD
Reece Oxford,Reece Oxford,DEF
Reiss Nelson,Reiss Nelson,MID
Ricardo Domingos Barbosa Pereira,Ricardo Domingos Barbosa Pereira,DEF
Richarlison de Andrade,Richarlison de Andrade,FWD
Riyad Mahrez,Riyad Mahrez,FWD
Robbie Brady,Robbie Brady,MID
Robert Kenedy Nunes do Nascimento,Robert Kenedy Nunes do Nascimento,MID
Roberto Firmino,Roberto Firmino,FWD
Roberto Pereyra,Roberto Pereyra,MID
Robert Elliot,Robert Elliot,GKP
Robert Snodgrass,Robert Snodgrass,MID
Rob Holding,Rob Holding,DEF
Roderick Jefferson Gon√ßalves Miranda,Roderick Jefferson Gonçalves Miranda,DEF
Romain Sa√Øss,Romain Saïss,DEF
Romelu Lukaku,Romelu Lukaku,FWD
Ross Barkley,Ross Barkley,MID
Ruben Loftus-Cheek,Ruben Loftus-Cheek,MID
Rui Pedro da Rocha Fonte,Rui Pedro da Rocha Fonte,FWD
Rui Pedro dos Santos Patr√≠cio,Rui Pedro dos Santos Patrício,GKP
Ryan Bennett,Ryan Bennett,DEF
Ryan Bertrand,Ryan Bertrand,DEF
Ryan Fraser,Ryan Fraser,MID
Ryan Fredericks,Ryan Fredericks,DEF
Ryan Sessegnon,Ryan Sessegnon,DEF
R√∫ben Diogo da Silva Neves,Rúben Diogo da Silva Neves,MID
R√∫ben Gon√ßalo Silva Nascimento Vinagre,Rúben Gonçalo Silva Nascimento Vinagre,DEF
Sadio Man√©,Sadio Mané,FWD
Salom√≥n Rond√≥n,Salomón Rondón,FWD
Sam Baldock,Sam Baldock,FWD
Sam Byram,Sam Byram,DEF
Sam McQueen,Sam McQueen,DEF
Sam Vokes,Sam Vokes,FWD
Sandro Ram√≠rez,Sandro Ramírez,FWD
Scott Dann,Scott Dann,DEF
Scott Malone,Scott Malone,DEF
Scott McTominay,Scott McTominay,MID
Sead Kolasinac,Sead Kolasinac,DEF
Seamus Coleman,Seamus Coleman,DEF
Sean Morrison,Sean Morrison,DEF
Sebastian Pr√∂dl,Sebastian Prödl,DEF
Serge Aurier,Serge Aurier,DEF
Sergio Ag√ºero,Sergio Agüero,FWD
Sergio Rico,Sergio Rico,GKP
Sergio Romero,Sergio Romero,GKP
Shane Duffy,Shane Duffy,DEF
Shane Long,Shane Long,FWD
Shinji Okazaki,Shinji Okazaki,FWD
Shkodran Mustafi,Shkodran Mustafi,DEF
Simon Francis,Simon Francis,DEF
Simon Mignolet,Simon Mignolet,GKP
Sofiane Boufal,Sofiane Boufal,MID
Sokratis Papastathopoulos,Sokratis Papastathopoulos,DEF
Solomon March,Solomon March,MID
Sol Bamba,Sol Bamba,DEF
Stefano Okaka,Stefano Okaka,FWD
Stefan Johansen,Stefan Johansen,MID
Stephan Lichtsteiner,Stephan Lichtsteiner,DEF
Stephen Ward,Stephen Ward,DEF
Steven Davis,Steven Davis,MID
Steven Defour,Steven Defour,MID
Steve Cook,Steve Cook,DEF
Steve Mounie,Steve Mounie,FWD
Stuart Armstrong,Stuart Armstrong,MID
Sullay Kaikai,Sullay Kaikai,MID
Sung-yueng Ki,Sung-yueng Ki,MID
Tammy Abraham,Tammy Abraham,FWD
Terence Kongolo,Terence Kongolo,DEF
Theo Walcott,Theo Walcott,MID
Thibaut Courtois,Thibaut Courtois,GKP
Tiemou√© Bakayoko,Tiemoué Bakayoko,MID
Timothy Fosu-Mensah,Timothy Fosu-Mensah,DEF
Tim Ream,Tim Ream,DEF
Toby Alderweireld,Toby Alderweireld,DEF
Tomer Hemed,Tomer Hemed,FWD
Tommy Smith,Tommy Smith,DEF
Tom Cairney,Tom Cairney,MID
Tom Cleverley,Tom Cleverley,MID
Tom Davies,Tom Davies,MID
Tom Heaton,Tom Heaton,GKP
Tom Ince,Tom Ince,MID
Trent Alexander-Arnold,Trent Alexander-Arnold,DEF
Troy Deeney,Troy Deeney,FWD
Tyrone Mings,Tyrone Mings,DEF
Vicente Guaita,Vicente Guaita,GKP
Vicente Iborra,Vicente Iborra,MID
Victor Lindel√∂f,Victor Lindelöf,DEF
Victor Moses,Victor Moses,MID
Victor Wanyama,Victor Wanyama,MID
Vincent Kompany,Vincent Kompany,DEF
Virgil van Dijk,Virgil van Dijk,DEF
V√≠ctor Camarasa,Víctor Camarasa,MID
Wayne Hennessey,Wayne Hennessey,GKP
Wesley Hoedt,Wesley Hoedt,DEF
Wes Morgan,Wes Morgan,DEF
Wilfred Ndidi,Wilfred Ndidi,MID
Wilfried Zaha,Wilfried Zaha,MID
Willian Borges Da Silva,Willian Borges Da Silva,MID
Willy Boly,Willy Boly,DEF
Willy Caballero,Willy Caballero,GKP
Will Hughes,Will Hughes,MID
Will Norris,Will Norris,GKP
Winston Reid,Winston Reid,DEF
Xherdan Shaqiri,Xherdan Shaqiri,MID
Yannick Bolasie,Yannick Bolasie,MID
Yerry Mina,Yerry Mina,DEF
Yohan Benalouane,Yohan Benalouane,DEF
Yoshinori Muto,Yoshinori Muto,FWD
Younes Kaboul,Younes Kaboul,DEF
Yves Bissouma,Yves Bissouma,MID
√Ålvaro Morata,Álvaro Morata,FWD
Kurt Zouma,Kurt Zouma,DEF
Nampalys Mendy,Nampalys Mendy,MID
Arijanet Muric,Arijanet Muric,GKP
Jamie Sterry,Jamie Sterry,DEF
Kieran Dowell,Kieran Dowell,MID
Sean Longstaff,Sean Longstaff,MID
Brian Murphy,Brian Murphy,GKP
Dwight McNeil,Dwight McNeil,MID
Kadeem Harris,Kadeem Harris,MID
Paulo Gazzaniga,Paulo Gazzaniga,GKP
Ryan Schofield,Ryan Schofield,GKP
Tyias Browning,Tyias Browning,DEF
Alfie Whiteman,Alfie Whiteman,GKP
Grady Diangana,Grady Diangana,MID
Emiliano Mart√≠nez,Emiliano Martínez,GKP
Oliver Skipp,Oliver Skipp,MID
Zeze Steven Sessegnon,Steven Sessegnon,MID
Ben Wilmot,Ben Wilmot,DEF
Divock Origi,Divock Origi,FWD
Emile Smith-Rowe,Emile Smith-Rowe,MID
Zech Medley,Zech Medley,DEF
Conor Coventry,Conor Coventry,MID
Joe Powell,Joe Powell,MID
Juan Foyth,Juan Foyth,DEF
Michael Obafemi,Michael Obafemi,FWD
Edward Nketiah,Edward Nketiah,FWD
Viktor Gyokeres,Viktor Gyokeres,FWD
Frederick Woodman,Frederick Woodman,GKP
Adalberto Pe√±aranda,Adalberto Peñaranda,FWD
Ryan John Giles,Ryan John Giles,DEF
Yan Valery,Yan Valery,MID
Josh Knight,Josh Knight,DEF
Rafael Camacho,Rafael Camacho,MID
Ben White,Ben White,DEF
Alexandre Nascimento Costa Silva,Alexandre Nascimento Costa Silva,FWD
Timothy Eyoma,Timothy Eyoma,DEF
Tyreke Johnson,Tyreke Johnson,DEF
Abd-Al-Ali Morakinyo Olaposi Koiki,Abd-Al-Ali Morakinyo Olaposi Koiki,DEF
Bukayo Saka,Bukayo Saka,MID
Kayne Ramsay,Kayne Ramsay,DEF
Angel Gomes,Angel Gomes,MID
Joseph Willock,Joseph Willock,MID
Max Kilman,Max Kilman,DEF
Callum Slattery,Callum Slattery,MID
Samir Nasri,Samir Nasri,MID
Harvey Barnes,Harvey Barnes,MID
Max Sanders,Max Sanders,MID
Rhys Healey,Rhys Healey,FWD
Sam Gallagher,Sam Gallagher,FWD
Callum Roberts,Callum Roberts,MID
Joe Tupper,Joe Tupper,GKP
Kazaiah Sterling,Kazaiah Sterling,FWD
Ryan Babel,Ryan Babel,MID
Carl Jenkinson,Carl Jenkinson,DEF
Chris Mepham,Chris Mepham,DEF
Dan Burn,Dan Burn,DEF
Gonzalo Higua√≠n,Gonzalo Higuaín,FWD
Josh Benson,Josh Benson,MID
Alfie Jones,Alfie Jones,DEF
Antonio Barreca,Antonio Barreca,DEF
Cameron John,Cameron John,DEF
Curtis Jones,Curtis Jones,MID
Denis Su√°rez,Denis Suárez,MID
H√•vard Nordtveit,Håvard Nordtveit,DEF
Karlan Grant,Karlan Grant,FWD
Lazar Markovic,Lazar Markovic,MID
Leandro Bacuna,Leandro Bacuna,MID
Lucas Perri,Lucas Perri,GKP
Michy Batshuayi,Michy Batshuayi,FWD
Miguel Almir√≥n,Miguel Almirón,MID
Peter Crouch,Peter Crouch,FWD
Youri Tielemans,Youri Tielemans,MID
Joel Coleman,Joel Coleman,GKP
Kyle Taylor,Kyle Taylor,DEF
Sam Surridge,Sam Surridge,FWD
√áaglar S√∂y√ºnc√º,Ça_lar Söyüncü,DEF
Ben Johnson,Ben Johnson,DEF
Demeaco Duhaney,Demeaco Duhaney,DEF
James Garner,James Garner,MID
Philippe Sandler,Philippe Sandler,DEF
Tahith Chong,Tahith Chong,MID
Matthew Daly,Matthew Daly,MID
